序号,题目,答案,选项A,选项B,选项C,选项D,,,,,,,,,,,,,
1,美国的ai教父是奥特曼，中国的ai教父是？,B,李开复,李一舟,李彦宏,姚期智,,,,,,,,,,,,,
2,马斯克的自动驾驶叫Autopilot，李彦宏的自动驾驶叫？,A,自动泊车,Apollo,萝卜快跑,文心一言,,,,,,,,,,,,,
3,国内AI四小龙实际是？,C,,,人工标注四小龙,,,,,,,,,,,,,,
4,中文AI圈“PPT创业教父”是谁？,D,,,,贾跃亭,,,,,,,,,,,,,
5,大厂裁员时最常用的AI工具是？,B,,HR-Bot,,,,,,,,,,,,,,,
6,最适合AI的996工作模式叫？,A,7×24小时云端待命  ,,,,,,,,,,,,,,,,
7,深度学习的“祖传秘方”是？,C,,,调参,,,,,,,,,,,,,,
8, 最受AI欢迎的编程语言？,D,,,,python,,,,,,,,,,,,,
9,预测AI取代人类后的第一项新政？,B,,强制人类每天做图灵测试  ,,,,,,,,,,,,,,,
10,大模型训练副作用？,A,显卡渡劫,,,,,,,,,,,,,,,,
11,甲方最爱提的AI需求？,C,,,五彩斑斓的黑,,,,,,,,,,,,,,
12,AI最常被问的是什么,D,,,,你是真人吗,,,,,,,,,,,,,
13,AI统治地球最大阻碍？,B,,领导拍板,,,,,,,,,,,,,,,
14,大模型训练最大障碍？,A,太耗电,,,,,,,,,,,,,,,,
15,哪个AI公司名字听起来像修仙门派？,C,,,DeepSeek,,,,,,,,,,,,,,
16,AI写论文的最大破绽是？,D,,,,根据计算得出,,,,,,,,,,,,,
17,程序员学AI必拜的开山祖师爷？,B,,Hello World,,,,,,,,,,,,,,,
18,deepseek最喜欢说的词是,A,量子纠缠,,,,,,,,,,,,,,,,
19,AI客服最怕听到的话？,C,,,转人工,,,,,,,,,,,,,,
20,如何避免AI造反,D,,,,让它考研/考公,,,,,,,,,,,,,
21,甲方验收AI成果时说什么？,B,,感觉差点意思,,,,,,,,,,,,,,,
22,AI复活古人第一句话？,A,v我50,,,,,,,,,,,,,,,,
23,AI取代人类最后防线？,C,,,给甲方改稿,,,,,,,,,,,,,,
24,中文AI训练最好的语料在哪？,D,,,,弱智吧,,,,,,,,,,,,,
25,人类保留的最后尊严？,B,,甲方说不,,,,,,,,,,,,,,,